City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bathsheba,BB,13.2167,-59.5167,78.8,78,40,20.71,scattered clouds
80,Faanui,PF,-16.4833,-151.75,81.34,75,6,11.56,clear sky
81,Verkhniy Avzyan,RU,53.5289,57.5372,10.27,94,100,3.62,light snow
82,Makakilo City,US,21.3469,-158.0858,82.4,57,20,6.91,few clouds
83,Yola,NG,9.2,12.4833,74.61,19,73,2.93,broken clouds
84,Moram,IN,17.8,76.4667,69.13,53,0,6.58,clear sky
85,Iquitos,PE,-3.7481,-73.2472,86.0,70,75,4.61,light rain
86,Havelock,US,34.8791,-76.9013,57.99,71,0,5.99,clear sky
87,Castro,BR,-24.7911,-50.0119,67.23,92,59,7.92,broken clouds
88,Henties Bay,NA,-22.116,14.2845,71.01,80,61,2.48,broken clouds
89,Biak,ID,-0.9131,122.8766,77.41,79,98,3.42,light rain
90,Sandnessjoen,NO,66.0217,12.6316,21.2,93,75,2.3,light snow
91,Tanout,NE,14.9709,8.8879,67.01,24,0,9.13,clear sky
92,Zhezkazgan,KZ,47.8043,67.7144,6.85,89,95,12.71,overcast clouds
93,Shenkursk,RU,62.1091,42.896,-16.4,88,32,3.27,scattered clouds
94,Batemans Bay,AU,-35.7167,150.1833,64.0,45,0,4.0,clear sky
95,Berlevag,NO,70.8578,29.0864,33.8,93,75,11.5,broken clouds
96,Son La,VN,21.3167,103.9,54.3,92,100,3.06,overcast clouds
97,Akyab,MM,20.15,92.9,62.38,75,21,7.05,few clouds
98,Thompson,CA,55.7435,-97.8558,5.0,78,75,4.61,broken clouds
99,Polonnaruwa,LK,7.9333,81.0,71.19,93,86,2.19,overcast clouds
100,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,40,17.27,light rain
101,Jalu,LY,29.0331,21.5482,52.09,55,1,7.11,clear sky
102,Mount Gambier,AU,-37.8333,140.7667,55.4,67,75,8.05,broken clouds
103,San Cristobal,VE,7.7669,-72.225,86.0,58,20,11.5,few clouds
104,Tuy Hoa,VN,13.0833,109.3,66.18,88,84,4.83,broken clouds
105,Upernavik,GL,72.7868,-56.1549,14.77,96,100,3.8,light snow
106,Cidreira,BR,-30.1811,-50.2056,76.87,82,8,20.85,clear sky
107,Kassala,SD,15.451,36.4,66.63,84,0,7.74,clear sky
108,Nome,US,64.5011,-165.4064,24.8,58,1,18.41,clear sky
109,Wewak,PG,-3.5534,143.6268,80.06,83,64,4.14,broken clouds
110,Tura,IN,25.5198,90.2201,54.14,57,0,2.21,clear sky
111,Ust-Kut,RU,56.7938,105.7672,-8.7,87,100,6.53,overcast clouds
112,Hermanus,ZA,-34.4187,19.2345,62.01,86,2,11.59,clear sky
113,Barrow,US,71.2906,-156.7887,-9.4,70,1,17.27,haze
114,Khatanga,RU,71.9667,102.5,-45.51,78,34,3.38,scattered clouds
115,Dikson,RU,73.5069,80.5464,-31.2,79,70,5.01,broken clouds
116,Katsuura,JP,35.1333,140.3,55.0,87,75,3.44,broken clouds
117,Kajaani,FI,64.2273,27.7285,6.8,85,90,1.14,light snow
118,Punta Arenas,CL,-53.15,-70.9167,55.4,76,0,17.27,clear sky
119,Verkhoyansk,RU,67.5447,133.385,-32.24,81,100,1.36,overcast clouds
120,Puerto Ayora,EC,-0.7393,-90.3518,82.4,65,40,3.44,scattered clouds
121,Dingli,MT,35.8614,14.3822,55.4,67,40,29.93,scattered clouds
122,Jamestown,US,42.097,-79.2353,41.0,70,90,14.97,overcast clouds
123,Awjilah,LY,29.1081,21.2869,51.87,54,0,6.51,clear sky
124,Burns Lake,CA,54.2331,-125.7533,41.0,52,0,9.22,clear sky
125,Sitka,US,57.0531,-135.33,44.6,81,75,11.5,light rain
126,Chuy,UY,-33.6971,-53.4616,74.16,79,96,15.32,overcast clouds
127,Narsingi,IN,18.0333,78.4333,68.0,58,0,4.88,clear sky
128,Coihaique,CL,-45.5752,-72.0662,59.0,77,90,4.61,light rain
129,Port Lincoln,AU,-34.7333,135.8667,58.15,63,99,12.33,overcast clouds
130,Beidao,CN,34.5686,105.8933,27.48,78,21,2.59,few clouds
131,Ormara,PK,25.2088,64.6357,67.8,46,0,2.8,clear sky
132,Yulara,AU,-25.2406,130.9889,66.2,59,90,10.36,overcast clouds
133,Buala,SB,-8.145,159.5921,83.25,74,100,7.92,light rain
134,Manado,ID,1.487,124.8455,80.6,83,75,9.22,moderate rain
135,Bemidji,US,47.4736,-94.8803,30.0,93,90,9.22,mist
136,Grindavik,IS,63.8424,-22.4338,35.6,93,90,26.46,sleet
137,Nabire,ID,-3.3667,135.4833,77.04,85,100,3.18,overcast clouds
138,Muravlenko,RU,63.7898,74.523,2.97,94,100,12.12,light snow
139,Alofi,NU,-19.0595,-169.9187,84.2,79,75,9.22,broken clouds
140,Nioro,GM,13.35,-15.75,78.71,15,17,7.74,few clouds
141,Touros,BR,-5.1989,-35.4608,80.6,69,40,11.5,scattered clouds
142,Manggar,ID,-2.8833,108.2667,77.77,82,100,5.88,overcast clouds
143,Lorengau,PG,-2.0226,147.2712,83.77,79,64,10.74,broken clouds
144,Sabang,ID,5.8933,95.3214,80.62,75,84,3.2,broken clouds
145,Ribeira Grande,PT,38.5167,-28.7,60.8,88,40,12.66,scattered clouds
146,Dingle,PH,10.9995,122.6711,74.77,92,62,6.31,broken clouds
147,Turukhansk,RU,65.8167,87.9833,-28.73,80,37,9.84,scattered clouds
148,Demba,CD,-5.51,22.2667,64.22,99,100,2.06,overcast clouds
149,Bakal,RU,54.9417,58.8083,8.96,94,100,2.8,overcast clouds
150,Port Hardy,CA,50.6996,-127.4199,48.2,87,75,8.05,broken clouds
151,Bandarbeyla,SO,9.4942,50.8122,74.12,79,10,16.93,clear sky
152,Havoysund,NO,70.9963,24.6622,35.6,87,75,9.22,broken clouds
153,Bundoran,IE,54.4778,-8.2809,48.87,89,100,20.96,overcast clouds
154,Kerman,IR,30.2832,57.0788,46.4,17,0,11.5,clear sky
