City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Torbay,CA,2021-01-11 21:35:18,47.6666,-52.7314,27.0,80,90,11.5
67,Homer,US,2021-01-11 21:38:48,59.6425,-151.5483,37.0,93,90,10.36
68,Gushikawa,JP,2021-01-11 21:39:11,26.3544,127.8686,53.6,82,90,17.27
69,Gulu,UG,2021-01-11 21:39:11,2.7746,32.299,76.44,34,58,2.39
70,Rocha,UY,2021-01-11 21:39:12,-34.4833,-54.3333,72.81,90,100,2.44
71,Garbolovo,RU,2021-01-11 21:39:12,60.3413,30.4955,10.99,89,93,1.01
72,Mataura,NZ,2021-01-11 21:39:13,-46.1927,168.8643,65.48,50,0,2.04
73,Ribeira Grande,PT,2021-01-11 21:39:13,38.5167,-28.7,62.6,94,75,12.66
74,Morehead,US,2021-01-11 21:39:13,37.2711,-87.1764,30.0,69,90,5.75
75,Ponta Do Sol,PT,2021-01-11 21:39:14,32.6667,-17.1,55.0,63,12,10.0
76,Butaritari,KI,2021-01-11 21:39:14,3.0707,172.7902,80.65,82,72,22.44
77,Ancud,CL,2021-01-11 21:39:15,-41.8697,-73.8203,61.0,39,0,11.5
78,Rabaul,PG,2021-01-11 21:39:15,-4.1967,152.1721,81.57,76,100,2.46
79,Port Alfred,ZA,2021-01-11 21:39:16,-33.5906,26.891,73.09,88,95,16.37
80,Carnarvon,AU,2021-01-11 21:39:16,-24.8667,113.6333,75.2,94,40,17.27
81,Talnakh,RU,2021-01-11 21:39:16,69.4865,88.3972,-19.91,87,99,0.45
82,Jinchang,CN,2021-01-11 21:39:16,38.4953,102.1739,24.76,55,0,7.2
83,Broome,US,2021-01-11 21:35:04,42.2506,-75.833,33.01,74,90,5.75
84,Adrar,MR,2021-01-11 21:39:17,20.5022,-10.0711,58.05,36,100,11.48
85,Mehamn,NO,2021-01-11 21:39:17,71.0357,27.8492,15.8,62,0,9.22
86,Yulara,AU,2021-01-11 21:39:17,-25.2406,130.9889,77.0,23,0,5.75
87,Okhotsk,RU,2021-01-11 21:39:18,59.3833,143.3,-12.89,79,100,7.38
88,Xining,CN,2021-01-11 21:39:18,36.6167,101.7667,8.76,60,0,3.27
89,Vao,NC,2021-01-11 21:39:18,-22.6667,167.4833,78.26,86,100,20.92
90,Antofagasta,CL,2021-01-11 21:39:19,-23.65,-70.4,68.0,68,40,18.41
91,Bako,ET,2021-01-11 21:39:19,5.7833,36.5667,69.46,54,93,4.18
92,Poum,NC,2021-01-11 21:39:20,-20.2333,164.0167,82.49,78,88,2.26
93,Savannah Bight,HN,2021-01-11 21:39:20,16.45,-85.85,82.0,78,40,9.17
94,Carballo,ES,2021-01-11 21:39:20,43.213,-8.691,48.0,81,0,3.69
95,Esperance,AU,2021-01-11 21:39:21,-33.8667,121.9,53.6,76,62,8.05
96,Brownfield,US,2021-01-11 21:39:21,33.1812,-102.2744,34.0,80,0,4.0
97,Kunri,PK,2021-01-11 21:39:22,25.1785,69.5691,55.02,33,0,7.05
98,Santa Maria Del Oro,MX,2021-01-11 21:39:22,25.9333,-105.3667,58.14,32,33,12.64
99,Cayenne,GF,2021-01-11 21:36:21,4.9333,-52.3333,78.8,89,75,8.05
100,Yining,CN,2021-01-11 21:39:22,29.0361,114.5636,31.48,81,0,2.82
101,Mulanje,MW,2021-01-11 21:39:23,-16.0316,35.5,71.38,85,100,1.61
102,Isangel,VU,2021-01-11 21:39:23,-19.55,169.2667,78.8,94,90,3.44
103,Todos Santos,MX,2021-01-11 21:39:23,23.45,-110.2167,72.0,48,0,4.0
104,Airai,TL,2021-01-11 21:39:23,-8.9266,125.4092,62.08,100,22,1.36
105,Havre-Saint-Pierre,CA,2021-01-11 21:39:24,50.2334,-63.5986,15.8,67,1,11.5
106,Klaksvik,FO,2021-01-11 21:39:24,62.2266,-6.589,35.6,75,20,24.16
107,Lewiston,US,2021-01-11 21:39:24,44.1003,-70.2148,30.2,64,90,1.5
108,Wajima,JP,2021-01-11 21:39:24,37.4,136.9,42.22,69,100,20.18
109,Saint-Philippe,RE,2021-01-11 21:39:25,-21.3585,55.7679,77.0,94,0,6.91
110,Zaozerne,UA,2021-01-11 21:39:25,45.1582,33.2787,36.59,84,100,16.06
111,Bambous Virieux,MU,2021-01-11 21:39:25,-20.3428,57.7575,79.0,100,75,16.11
112,Yurino,RU,2021-01-11 21:39:26,56.2942,46.3039,-2.2,78,40,4.47
113,Nedjo,ET,2021-01-11 21:39:26,9.5046,35.5019,62.55,40,32,5.17
114,Yerbogachen,RU,2021-01-11 21:39:26,61.2767,108.0108,-33.09,83,95,3.11
115,Pisco,PE,2021-01-11 21:39:27,-13.7,-76.2167,75.2,73,0,21.85
116,Plettenberg Bay,ZA,2021-01-11 21:39:28,-34.0527,23.3716,68.92,92,47,8.01
117,East London,ZA,2021-01-11 21:39:28,-33.0153,27.9116,73.54,86,99,12.71
118,Houma,US,2021-01-11 21:39:28,29.5958,-90.7195,42.8,81,90,12.66
119,Trairi,BR,2021-01-11 21:38:32,-3.2778,-39.2689,77.9,80,69,8.5
120,Fare,PF,2021-01-11 21:39:29,-16.7,-151.0167,80.96,77,67,22.03
121,Dicabisagan,PH,2021-01-11 21:39:29,17.0818,122.4157,69.55,76,74,9.8
122,Banepa,NP,2021-01-11 21:39:30,27.6298,85.5214,46.4,87,20,2.3
123,Dingle,PH,2021-01-11 21:39:30,10.9995,122.6711,74.61,89,100,12.88
124,Hualmay,PE,2021-01-11 21:39:30,-11.0964,-77.6139,73.2,74,32,10.22
125,Ambilobe,MG,2021-01-11 21:39:30,-13.2,49.05,74.35,93,14,2.64
126,Praia Da Vitoria,PT,2021-01-11 21:39:31,38.7333,-27.0667,60.8,100,40,6.96
127,Krasnovishersk,RU,2021-01-11 21:39:31,60.4078,57.082,-15.9,85,0,4.41
128,Ilovlya,RU,2021-01-11 21:39:31,49.3033,43.9796,23.0,86,90,8.95
129,Skjervoy,NO,2021-01-11 21:39:32,70.0311,20.9714,21.2,91,0,21.41
130,Olinda,BR,2021-01-11 21:39:32,-8.0089,-34.8553,80.6,69,40,8.05
131,Victoria,HK,2021-01-11 21:37:21,22.2855,114.1577,48.99,33,10,1.01
132,Odweyne,SO,2021-01-11 21:39:33,9.4092,45.064,65.07,31,4,19.69
133,Tanout,NE,2021-01-11 21:39:33,14.9709,8.8879,69.64,21,0,12.68
134,The Valley,AI,2021-01-11 21:39:33,18.217,-63.0578,80.6,73,20,13.8
135,Kerewan,GM,2021-01-11 21:39:33,13.4898,-16.0888,73.4,53,40,6.91
136,Tuatapere,NZ,2021-01-11 21:39:34,-46.1333,167.6833,64.26,48,1,3.56
137,Palu,ID,2021-01-11 21:39:34,-0.8917,119.8707,76.42,80,100,2.17
138,Yellowknife,CA,2021-01-11 21:36:25,62.456,-114.3525,14.0,92,20,6.91
139,Baykit,RU,2021-01-11 21:39:35,61.67,96.37,-22.95,81,96,1.54
140,Darhan,MN,2021-01-11 21:39:35,49.4867,105.9228,2.25,92,100,5.75
141,Severo-Kurilsk,RU,2021-01-11 21:39:35,50.6789,156.125,24.35,92,99,27.22
142,Arraial Do Cabo,BR,2021-01-11 21:39:36,-22.9661,-42.0278,80.6,78,75,16.11
143,Mahmudia,RO,2021-01-11 21:39:36,45.0833,29.0833,36.0,87,90,5.75
144,Pangnirtung,CA,2021-01-11 21:39:36,66.1451,-65.7125,1.4,92,90,1.72
145,Cabra,ES,2021-01-11 21:39:36,37.4725,-4.4421,37.99,82,4,3.22
146,Iqaluit,CA,2021-01-11 21:39:37,63.7506,-68.5145,6.8,78,90,2.3
147,Porto Murtinho,BR,2021-01-11 21:39:37,-21.6989,-57.8825,94.17,40,6,3.67
148,Hami,CN,2021-01-11 21:39:37,42.8,93.45,12.45,83,0,1.21
149,Flinders,AU,2021-01-11 21:39:38,-34.5833,150.8552,75.0,83,100,1.01
150,Atasu,KZ,2021-01-11 21:39:38,48.6814,71.6433,16.86,87,46,15.82
151,Provideniya,RU,2021-01-11 21:39:38,64.3833,-173.3,1.4,66,0,11.18
152,Sandpoint,US,2021-01-11 21:35:44,48.2766,-116.5533,41.0,70,90,4.61
153,Lompoc,US,2021-01-11 21:39:39,34.6391,-120.4579,66.2,39,1,3.44
154,Hambantota,LK,2021-01-11 21:39:39,6.1241,81.1185,73.4,100,20,3.44
155,Ponta Delgada,PT,2021-01-11 21:39:39,37.7333,-25.6667,59.0,100,90,6.91
156,Ko Samui,TH,2021-01-11 21:39:39,9.5357,99.9357,79.95,71,80,14.72
157,Te Anau,NZ,2021-01-11 21:39:40,-45.4167,167.7167,62.35,57,5,2.26
158,Morgan City,US,2021-01-11 21:39:40,29.6994,-91.2068,42.01,87,90,11.5
159,Kapuskasing,CA,2021-01-11 21:39:40,49.4169,-82.4331,28.4,93,89,6.91
160,Nouakchott,MR,2021-01-11 21:37:47,18.0858,-15.9785,69.8,30,100,16.11
161,Souillac,MU,2021-01-11 21:39:41,-20.5167,57.5167,78.8,100,75,16.11
162,Saint-Joseph,RE,2021-01-11 21:39:41,-21.3667,55.6167,77.0,94,0,6.91
163,Voh,NC,2021-01-11 21:39:42,-20.9667,164.7,86.09,72,95,1.5
164,Ucluelet,CA,2021-01-11 21:37:31,48.9329,-125.5528,48.99,93,90,8.05
165,Cerknica,SI,2021-01-11 21:39:42,45.7931,14.3625,24.01,83,5,4.0
166,Paragould,US,2021-01-11 21:39:42,36.0584,-90.4973,33.8,64,90,6.91
167,Henties Bay,NA,2021-01-11 21:39:43,-22.116,14.2845,69.01,83,98,5.01
168,Port Hawkesbury,CA,2021-01-11 21:39:43,45.6169,-61.3485,27.0,80,1,2.3
169,Ostrovnoy,RU,2021-01-11 21:39:43,68.0531,39.5131,4.24,91,1,16.69
170,Svetlyy,RU,2021-01-11 21:39:43,54.675,20.1347,33.8,86,40,15.66
171,Zhifang,CN,2021-01-11 21:39:44,30.35,114.3167,26.6,80,0,2.24
172,Kendari,ID,2021-01-11 21:39:44,-3.945,122.4989,75.49,94,66,3.78
173,Atarfe,ES,2021-01-11 21:39:44,37.2248,-3.6869,39.0,93,40,4.61
174,Hobart,AU,2021-01-11 21:35:26,-42.8794,147.3294,68.0,56,40,17.27
175,Oshakati,NA,2021-01-11 21:39:45,-17.7833,15.6833,80.6,47,100,1.14
176,Bredasdorp,ZA,2021-01-11 21:39:45,-34.5322,20.0403,68.0,83,99,14.97
177,Hailar,CN,2021-01-11 21:39:45,49.2,119.7,-5.64,92,100,5.75
178,Saldanha,ZA,2021-01-11 21:39:46,-33.0117,17.9442,68.0,64,0,8.05
179,Diu,IN,2021-01-11 21:39:46,20.7141,70.9822,72.54,40,22,8.99
180,Malabo,GQ,2021-01-11 21:39:47,3.75,8.7833,80.6,83,20,8.05
181,Kuah,MY,2021-01-11 21:39:47,6.3265,99.8432,78.8,78,20,3.44
182,Brae,GB,2021-01-11 21:39:47,60.3964,-1.353,41.0,75,40,24.16
